          ▓▓                              ░▒▓▓▓▓▓▓▓▒░                                ,Tu réveille en moi un mépris inexplicable,(ne comprends pas ce mépris puis se tait),2,Tu te bats comme un bœuf.,Aargh C’est vraiment méchant,3,Les humain tombent comme des mouches quand j’arrive,Toi aussi autant que je sache,1,Affromage frais à n’est plus frais vous remportez ce combat,Vous avez perdu ! Mais l’Affromage est clément et vous laisse repartir en vous faisant une grosse léchouille. Beurk !! 
        ▒▓▒▒▓                          ░▓█████████▓█▓▓▒░                             ,1.On peut dire que c’est réciproque  2.Pourquoi ! Ai-je fait quelque chose mal 3.Je peux t’aider à trouver les mots si tu veux 4.Je te reveille !,Oui tu t’es mis en travers de mon chemin,0,1.C’est parfait car toi tu te bats comme une vache 2.Et toi comme une chèvre ! 3.euh et toi comme un insecte  4.Arrête je suis pas si gros,C’est faux je grignote pas d’herbe,2,1.Parce que tu fais peur  2.Normal les mouche vont manger quelque chose de plus frais ? 3.aaaahhh ne me fais pas de mal s’il te plaît. 4. Avant même de sentir ton haleine ? !,Je ne sens pas si mauvais (panik),2,<end>,<end>
      ▒██▒░ ▒█░                     ░██████████████▓▓████▒                           ,<end>,Euh aaa (n’a plus les mots),3,<end>,Je vois la répartie n’est pas ton point fort,1,<end>,Je ne vais pas me gêner ,0,0,0
    ░██▓▒▒░░ ░█▒                   ███████████████▓▓▓▓▓▓▓██                          ,0,Tu es vraiment sot pour ne pas comprendre,1,0,Tu devrais te regarder dans un mirroir,0,0,Même si je suis un fromage je ne sens pas mauvais pour autant,3,0,0
  ░▓█▓▒▒▒▒▒░▒  █▒                ░████████████████▓▓▓▓▓▓▓▓██                         ,0,0,0,0,0,0,0,0,0,0,0
 ▒█▓▒▒▒▒░░░░ ░░░█                █████████████████▓▓▓▓▓▓▓▓▓█▓                        ,0,0,0,0,0,0,0,0,0,0,0
█▓▒▒░░░       ░▒█▒              ███████████████████▓▓▓▓▓▓▓▓▓█░                       ,0,0,0,0,0,0,0,0,0,0,0
▒▓▒▒▒▒▒░▒░ ▒▓▒ ▓▒▓             ▒████████████████████▓▓▓▓▓▓▓▓██                       ,0,0,0,0,0,0,0,0,0,0,0
 ▓▓▓█▓░▒█▒▓▓ ▒▓▓ ▓▓            ████████████████████▓███▓▓▓▓▓▓█▒                      ,0,0,0,0,0,0,0,0,0,0,0
  █▓▒▓▓▓▒ ▒▒  ▓▒▓▓█            █████████████████████████▓█▓████                      ,0,0,0,0,0,0,0,0,0,0,0
  ▓█▓▒▓▒ ▒▒ ▒▒▒░▓▒░            ████████████████████████████████░                     ,0,0,0,0,0,0,0,0,0,0,0
   ▓██▓█▓▓░▒▒▓▓░     ▒▓▓▓███████████████████████████████████████████▓▓▓▒░            ,0,0,0,0,0,0,0,0,0,0,0
    ░ ░░██▒██▓█▓▒▓██████████████████████████████████████████████████████████▓▒░      ,0,0,0,0,0,0,0,0,0,0,0
        ░█▒█▓█▒▓██████████████████████████████████████████████████████████████████▓░ ,0,0,0,0,0,0,0,0,0,0,0
        ██▓█▓▓ ▒█████████████████████████████████████████████████████████████████████,0,0,0,0,0,0,0,0,0,0,0
        ▒████▒░█████████████████████▓▓▓▓▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓▓▓▓██████████████████████████▓,0,0,0,0,0,0,0,0,0,0,0
           ▒█▒█████████████████▓▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▓▓█████████████████▓▒   ,0,0,0,0,0,0,0,0,0,0,0
            █▒░  ░▓▓██████████ ▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒░▒▒▒░▒▒▒▒▒▒▒░▒██████████▓▒         ,0,0,0,0,0,0,0,0,0,0,0
            █▓▓           ░▒▓▓░▒▒▒▒▒▒▒▒▓░░▒▒░░▒░░░▓░░▒░ ░░░░▒▒▒▒█▒▒░                 ,0,0,0,0,0,0,0,0,0,0,0
            ▒▓▓             ░▓▒▓▒▒░▒▒░▓░██░▓▒░░░ ▓▒██▒▓      ░░░▓          ▓▓▒ ░░    ,0,0,0,0,0,0,0,0,0,0,0
             ▓█▓░░░         ▓▒▒▓▒▓█▒░░▒▒▓█▒▓░░░░░▒▓▓█▒▒   ▓▓░ ░ █░    ░▒  ▒▒▓▒▒▓▓    ,0,0,0,0,0,0,0,0,0,0,0
           ▓▓░██░▓▒▓░       █▒▒▓░███▒     ░░ ░░░░ ░░     ███▒   ▓░    █▒▒▒▓▒▓░▒▓░▒░  ,0,0,0,0,0,0,0,0,0,0,0
           █▓▒▒▓█▓ ▒▓       ▓░▒▓▒░█████▓▒           ░▓▓████▒  ░ ▓▓    ░█ ▒▒▒▓▓▓▒▓▓▒  ,0,0,0,0,0,0,0,0,0,0,0
           ▓█▓░░█▓ ░█      ██ ░▒▒▒░███████████████████████▒     ▒█▓    ▓▓  ▒░▒▓▓▓▒░  ,0,0,0,0,0,0,0,0,0,0,0
            ██▓ ▒█▒▒░▓▒   ▓███▓▒▒░░  ░░░███▓▒▓██▓▓▓▓█▒        ▒▓███░  ░▒█▒▒░░░▓▓▓▓▒  ,0,0,0,0,0,0,0,0,0,0,0
            ░█▓█▓█▓▓  ▒▒▒▓███████▓▒░░   ▓▓▒░  █▓▒   ▓      ░▓███████░▒▒░ ▒▓█▒▒░      ,0,0,0,0,0,0,0,0,0,0,0
               ▒█▓█░▒░░ ░░▒█████████▓▓▒▒█▓▓▒░░█▓▒░░ ▒▓ ▒▓▓████████▓   ░▒▒▓█▒         ,0,0,0,0,0,0,0,0,0,0,0
                █▓█▓█▓▒▓▒░░▒█████████████▓▓▒▒▒█▓▒▒▒▒░█████████████  ░▒▒▒▓▓           ,0,0,0,0,0,0,0,0,0,0,0
                ▒█▓█░ ░░▓█▓▒████████████▓▒▓▒▒▒█▓▒▒▒▒▒████████████▒▒▓█▓▒▓▓▒           ,0,0,0,0,0,0,0,0,0,0,0
                 ███    █████████████████▒▓▒▒▒██▓▒░░░█████████████████░▒▓█           ,0,0,0,0,0,0,0,0,0,0,0
                  ▒    █████▓░▒██████████▒▓▒▒░▓▓▒░  ▓█████████▓░░█████               ,0,0,0,0,0,0,0,0,0,0,0
                      ▓█████▒░▒▒▒█████████▓▒▒░    ░▓██▓▓████▓▒░░ ██████              ,0,0,0,0,0,0,0,0,0,0,0
                     ▒██████░▒▓▒▒▒▒██████████▓▓▓▓▓███▓████▓░░░░░ ▓██████             ,0,0,0,0,0,0,0,0,0,0,0
                    ▒██████▓ ▓▒▓▒▒▒░▒▓██████████████████▓░░░░    ░███████            ,0,0,0,0,0,0,0,0,0,0,0
                   ▓███████░▒▓▓▒▓▒▒▒▒░▒▓███████▓█████▓▒ ░░░░░   ░ ▓███████░          ,0,0,0,0,0,0,0,0,0,0,0
                 ▒████████▓░▒▓▒▒▒▒▒▒▒▒▒░░▒▓███████▓▒░ ░░░░░░░░░░░  █████████         ,0,0,0,0,0,0,0,0,0,0,0
                 ▓████████░▒▓▒▒▒▒▒▒▒▒▒▒▒▒░░░▒▓██▒░░░░░░░░░░░░░░    ░███▓▒░░▒         ,0,0,0,0,0,0,0,0,0,0,0
                        ▓░▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒▒░░░░░░░▒░░░░░░ ░ ░   ░  ▓▓               ,0,0,0,0,0,0,0,0,0,0,0
                      ▒▒░░▒▓▓▒▒░▒░░░░░▒▒▒▒▒▒▒░░░░░░░░░░░░      ░█▓▓▓▒▒▓              ,0,0,0,0,0,0,0,0,0,0,0
                  ░▒▓▓▓▓▓▓▓▓█▓▓▓▒▓▓░     ░░░░░░░░░░░░░░░░▒▓░   ▒█░░   ░▓▒░           ,0,0,0,0,0,0,0,0,0,0,0
               ▒▒▓▓▒░░░▒▒▒▒▒▒▒▒▒▒▒▓█▓▒▒░▒▒░░░░░░░░░░░░   ░▓▓█▓▓█▓       ░▒▒▒▒▒       ,0,0,0,0,0,0,0,0,0,0,0
              ▒█▓▓▓▒▒▓▓▒ ░░░     ░░▒▓▓▓▓▓▒░░  ░░  ░░   ░▒▒░  ▒▒░   ▒▒▓██▓▓▒▒▒▓█      ,0,0,0,0,0,0,0,0,0,0,0
                ▒▒▒▒▒▒▓█▓▒▒▒▓▓██▓░░         ▒▓▓▓▓░    ▒█▒▒▓▓▒       █▒░░░▒▒▒▒▒░      ,0,0,0,0,0,0,0,0,0,0,0
                       ░▓▓▓▓▒░ ▒▓█▓░     ░▒▓▓▒░░█▓░   ▒█   ▒██▒░    ▓▓               ,0,0,0,0,0,0,0,0,0,0,0
                                  ▓▓▓▓▓▒▓▓▒      ▓▓▒▒▒▒▒      ▒▓▓▒▒▒▓░               ,0,0,0,0,0,0,0,0,0,0,0
Affromage frais apparaît ,0,0,0,0,0,0,0,0,0,0,0
Condition : faire un score de 6,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0
